2021/05/12 15:02:23 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:03:24 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:04:25 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:05:26 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:06:27 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:07:28 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:08:29 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:09:29 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:10:30 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:11:31 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:12:32 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:13:33 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:14:34 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 15:15:35 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:04:03 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:05:04 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:06:05 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:07:05 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:08:07 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:09:08 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:10:08 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:11:09 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:12:10 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:13:11 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:14:12 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:15:13 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:16:14 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:17:15 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:18:16 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:19:17 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
2021/05/12 17:20:18 [emerg] 1#1: host not found in upstream "app" in /etc/nginx/conf.d/default.conf:26
